distance,temperature,humidity,label,timestamp
36.81,24.9,49.0,0,2024-12-07 08:14:34
36.82,25.0,49.0,0,2024-12-07 08:14:36
36.82,25.0,49.0,0,2024-12-07 08:14:38
36.82,25.0,49.0,0,2024-12-07 08:14:41
1.97,25.0,49.0,1,2024-12-07 08:14:43
7.43,25.0,49.0,1,2024-12-07 08:14:45
2.92,25.0,49.0,1,2024-12-07 08:14:47
2.92,25.0,49.0,1,2024-12-07 08:14:49
15.83,25.0,49.0,0,2024-12-07 08:14:51
1.97,24.9,49.0,1,2024-12-07 08:14:53
1.97,25.0,49.0,1,2024-12-07 08:14:55
36.58,24.9,49.0,0,2024-12-07 08:14:57
